user_name,user_description,user_link,location,investments,followers
,,,,,
XY Gaming,We Get Video Gamers Paid,https://angel.co/xy-gaming,Brisbane,Apr ’13,79
Black Sheep Capital,Evolved Investing,https://angel.co/black-sheep-capital,Brisbane,May ’15,20
Bolt Motorbikes,"High performance electric motorbikes with no license, registration or insurance required.",https://angel.co/bolt-motorbikes,San Francisco,Dec ’14,61
Tappr,Next generation of payment technology,https://angel.co/tappr-1,Brisbane,Sep ’13,43
Pixmoto,Pixmoto Combines Powerful Video Storytelling With Inspiring Call to Action,https://angel.co/next-big-idea,Boulder,Oct ’15,10
Ruffle,"Send fun, anonymous picture messages to any phone number.",https://angel.co/ruffle,Brisbane,Jun ’15,4
BDS.com.au,,https://angel.co/bds-com-au,Brisbane,Mar ’14,15
Liquid State,Wordpress for apps.,https://angel.co/liquid-state,Brisbane,Nov ’13,25
SwipeAds,CAPTCHA Security & Advertising,https://angel.co/swipeads,Brisbane,Jun ’16,11
FunCaptcha,,https://angel.co/funcaptcha,Brisbane,Jun ’16,5
HaystackHQ,Visual analytics for legal eDiscovery,https://angel.co/haystackhq,Brisbane,Oct ’11,52
Churn.tv,Endless channels of online video.,https://angel.co/churn-tv,Brisbane,Feb ’14,18
Corilla,Collaboration tools for technical writers,https://angel.co/corilla,Brisbane,Feb ’15,18
River City Labs Accelerator,Seed accelerator program powered by muru-D,https://angel.co/river-city-labs-accelerator,Brisbane,Feb ’16,9
Smithsoft,Mobile and Web Application Expertise,https://angel.co/smithsoft,Brisbane,Feb ’15,3
ilab Accelerator,ilab is a thriving accelerator that turns tech startups into successful global ventures.,https://angel.co/ilab-accelerator,Brisbane,Jul ’13,55
Coltpay,Online and SMS P2P Payments,https://angel.co/coltpay,Brisbane,Jan ’13,6
Wikifashion,The ultimate fashion resource.,https://angel.co/wikifashion,Brisbane,Jul ’11,38
Hungry Apps,Food and Beverage Mobile Ordering,https://angel.co/hungry-apps,Brisbane,May ’12,25
QSPectral Systems,Enabling Connected Health,https://angel.co/qspectral-systems,Brisbane,Jan ’15,4
,,,,,
SafetyCulture,Mobile Workplace Safety Management,https://angel.co/safetyculture,Townsville City,Dec ’13,45
XY Gaming,We Get Video Gamers Paid,https://angel.co/xy-gaming,Brisbane,Apr ’13,79
Black Sheep Capital,Evolved Investing,https://angel.co/black-sheep-capital,Brisbane,May ’15,20
Bolt Motorbikes,"High performance electric motorbikes with no license, registration or insurance required.",https://angel.co/bolt-motorbikes,San Francisco,Dec ’14,61
Tappr,Next generation of payment technology,https://angel.co/tappr-1,Brisbane,Sep ’13,43
Pixmoto,Pixmoto Combines Powerful Video Storytelling With Inspiring Call to Action,https://angel.co/next-big-idea,Boulder,Oct ’15,10
Ruffle,"Send fun, anonymous picture messages to any phone number.",https://angel.co/ruffle,Brisbane,Jun ’15,4
BDS.com.au,,https://angel.co/bds-com-au,Brisbane,Mar ’14,15
GoFair,"""Name your price"" for travel activities",https://angel.co/gofair,Gold Coast,Sep ’14,5
Liquid State,Wordpress for apps.,https://angel.co/liquid-state,Brisbane,Nov ’13,25
SwipeAds,CAPTCHA Security & Advertising,https://angel.co/swipeads,Brisbane,Jun ’16,11
FunCaptcha,,https://angel.co/funcaptcha,Brisbane,Jun ’16,5
HaystackHQ,Visual analytics for legal eDiscovery,https://angel.co/haystackhq,Brisbane,Oct ’11,52
Churn.tv,Endless channels of online video.,https://angel.co/churn-tv,Brisbane,Feb ’14,18
LEAPIN Digital Keys,Better Access,https://angel.co/leapin-digital-keys,Gold Coast,May ’13,24
Corilla,Collaboration tools for technical writers,https://angel.co/corilla,Brisbane,Feb ’15,18
River City Labs Accelerator,Seed accelerator program powered by muru-D,https://angel.co/river-city-labs-accelerator,Brisbane,Feb ’16,9
Smithsoft,Mobile and Web Application Expertise,https://angel.co/smithsoft,Brisbane,Feb ’15,3
ilab Accelerator,ilab is a thriving accelerator that turns tech startups into successful global ventures.,https://angel.co/ilab-accelerator,Brisbane,Jul ’13,55
Coltpay,Online and SMS P2P Payments,https://angel.co/coltpay,Brisbane,Jan ’13,6
Nextwin,Social Betting Network,https://angel.co/nextwin-1,Roma,Jul ’16,6
Composeright Software,Re-writing the way we write in education,https://angel.co/composeright-software-1,Buderim,Aug ’13,9
Wikifashion,The ultimate fashion resource.,https://angel.co/wikifashion,Brisbane,Jul ’11,38
Hungry Apps,Food and Beverage Mobile Ordering,https://angel.co/hungry-apps,Brisbane,May ’12,25
QSPectral Systems,Enabling Connected Health,https://angel.co/qspectral-systems,Brisbane,Jan ’15,4
Freegler,Airbnb for household items,https://angel.co/freegler,Brisbane,May ’13,18
Boss Ranger,Fixing Poker Training,https://angel.co/boss-ranger,Brisbane,May ’16,1
GO1,Learning Management made Easy,https://angel.co/go1com,Brisbane,Jun ’15,18
Shabu,The most straightforward way to increase total body strength for beginners.,https://angel.co/shabu-1,Gold Coast,Jan ’16,2
Magneto Communications Pty,Business-writing innovation for Microsoft Office,https://angel.co/magneto-communications-pty,Brisbane,Nov ’13,7
JSON Resume,A community driven open source initiative to create a JSON based standard for resumes,https://angel.co/json-resume,Brisbane,Aug ’14,7
Tagly,Digital engagement SaaS platform for enterprizes,https://angel.co/tagly,Brisbane,Dec ’13,22
Starts at 60,online community for active over 60s,https://angel.co/starts-at-60,Brisbane,Sep ’14,18
Hirehive,Peer-To-Peer Rentals. For Filmmakers.,https://angel.co/hirehive,Brisbane,May ’14,23
Tripcover,Standalone car rental excess insurance,https://angel.co/tripcover-1,Gold Coast,Oct ’13,17
Event Zero,Data-driven Sustainability,https://angel.co/event-zero,Brisbane,Jun ’12,17
Cobimo,Get new hires productive faster,https://angel.co/cobimo,Brisbane,Feb ’16,2
Boardcave,"Find, Compare & Customise Surfboards.",https://angel.co/boardcave,Gold Coast,May ’14,14
Dextr,"A simpler, smarter, faster keyboard that makes texting on a touchscreen as easy as ABC!",https://angel.co/dextr-1,Brisbane,Sep ’13,20
Hydric Media,Tech Studio for the Music Industry,https://angel.co/hydric-media,Brisbane,Jan ’16,6
Social.iQ,,https://angel.co/social-iq,Brisbane,Mar ’13,13
meVu,eSporting Gambling Community,https://angel.co/mevu-3,Brisbane,Dec ’15,4
TwoCents Group,We Are Good Ideas,https://angel.co/twocents-group,Brisbane,Nov ’12,15
Pelofy,Social group cycling,https://angel.co/pelofy,Brisbane,Jan ’14,16
TIASSISTO24,"Don’t worry,  just drive",https://angel.co/tiassisto24,Roma,Oct ’14,6
Ephox / TinyMCE,Embed WYSIWYG rich text editing in your app,https://angel.co/ephox,Palo Alto,Feb ’13,20
Narratif,Discover conversations and influencers in social media,https://angel.co/narratif,Brisbane,Jul ’14,15
Flystein,21st century travel agency,https://angel.co/flystein,Brisbane,Apr ’16,6
Helloify,Business messaging reinvented,https://angel.co/helloify,Gold Coast,Dec ’14,4
RedEye Apps,Cloud based Engineering Drawing Management Solution,https://angel.co/redeye-apps,Brisbane,Jun ’15,28
Bancha,The best way to manage your vacation rental.,https://angel.co/bancha-2,Roma,Jul ’14,5
CloudMGR,Visibility and Control of your AWS Cloud,https://angel.co/cloudmgr,San Francisco,Apr ’16,3
WunderWalk,"instant personal outings anytime, anywhere",https://angel.co/wunderwalk,Brisbane,Nov ’14,11
Smooth Operator,The most effiecient POS on the Market,https://angel.co/smooth-operator,Brisbane,Apr ’14,12
Haystack,Your contact details - synced with everybody,https://angel.co/haystack-7,Brisbane,Oct ’13,11
Outfit,Web based brand and marketing asset templating and production tool,https://angel.co/outfit-1,Brisbane,Nov ’14,4
SKWOD,Popular fitness trainers selling access to their exclusive squads,https://angel.co/skwod,Brisbane,Feb ’16,8
Puntaa,"Bet cash with your mates, on any event and get paid all, on your mobile.",https://angel.co/puntaa,Brisbane,Oct ’15,8
Pimovation Pty,"We help people do Project Management, better.",https://angel.co/pimovation-pty,Brisbane,Jun ’14,10
HSK Instruments,"Respiratory physiotherapy, revolutionised",https://angel.co/hsk-instruments-1,Brisbane,Dec ’14,9
iSpiMi,Connecting local customers with local businesses,https://angel.co/ispimi,Brisbane,Sep ’15,5
Utilities.com.au,Scalable Disruptive Comparison Technology,https://angel.co/utilities-com-au,Brisbane,Mar ’15,3
Refactor,,https://angel.co/refactor,Gold Coast,Apr ’14,8
Jenio,The smartest way to find a pro,https://angel.co/jenio-1,Roma,Aug ’15,7
GCDuino,Arduino Electronics kits for big kids and little kids,https://angel.co/gcduino,Gold Coast,Mar ’15,2
Tanjo,Automated Bills Payments and Budgeting,https://angel.co/tanjo,Brisbane,Sep ’15,3
fastabook,online booking service for everyday services,https://angel.co/fastabook,Brisbane,Aug ’14,6
agAlytics,A breakthrough in agricultural testing,https://angel.co/agalytics,Brisbane,Jan ’16,3
TEMSCORP,Build Faster and Smarter Deliver Quality Results,https://angel.co/tems-2,San Francisco,Oct ’15,5
Sidelab,Helping Enterprise Customers Successfully Engage with New Technologies,https://angel.co/sidelab,Brisbane,Mar ’12,7
Tootle Search,Google for TOR Browser,https://angel.co/tootle-search-1,Brisbane,Apr ’16,2
Spike Innovation,Advisor to early stage tech startups. Pitch coaching specialist.,https://angel.co/spike-innovation,Brisbane,Jan ’13,7
Konveen,Konveen is an Enterprise meeting solution,https://angel.co/konveen,Cairns,Sep ’14,7
FitQuick,Find fitness experts fast,https://angel.co/fitquick,Brisbane,Sep ’14,5
HungryHero,Customers on demand,https://angel.co/hungryhero-1,Brisbane,Feb ’14,5
City Publicity,The online publicity agency,https://angel.co/city-publicity,Brisbane,Mar ’15,2
Ensizon,We create AWESOME Internet of Things (IoT),https://angel.co/ensizon,Brisbane,Apr ’14,4
Skyborne Technologies,Autonomous Hybrid Drones,https://angel.co/tylt-airborne-systems,Brisbane,Jun ’15,11
GoCatalyze,Intuitive business process accelerator,https://angel.co/gocatalyze,Brisbane,Aug ’13,9
Nakili Organics,Inspiring happiness!,https://angel.co/nakili-organics,Brisbane,Dec ’13,5
Fathom,Beautiful Financial Reporting,https://angel.co/fathom-1,Brisbane,Jul ’14,13
Two Forte,Startup design and development,https://angel.co/two-forte,Brisbane,Apr ’15,2
uonbusiness,The Next Generation of Business Networking,https://angel.co/uonbusiness,Brisbane,Mar ’15,4
Telagram,"Share life, live",https://angel.co/telagram,Brisbane,Oct ’12,19
A-Z Online Shop,Looking to expand world wide,https://angel.co/a-z-online-shop,Brisbane,Oct ’14,4
Whazzo,Mobile Event & Ticket Platform,https://angel.co/whazzo-2,Roma,May ’14,11
AgDNA,A big-data analytics engine,https://angel.co/agdna,Brisbane,Apr ’15,10
CartHopper,Get your stuff moved by someone going your way,https://angel.co/carthopper,Gold Coast,May ’14,4
SPARK BUREAU,"coworking, incubator and accelerator",https://angel.co/spark-bureau,Brisbane,Oct ’15,3
Tech Tidal,Queensland's startup media voice.,https://angel.co/tech-tidal,Brisbane,Feb ’14,7
Uwantabet,monetising sports traffic,https://angel.co/uwantabet,Brisbane,Oct ’11,7
Turnout,Crowd funding for live music events,https://angel.co/turnout-1,Brisbane,Jul ’12,15
Bitcoin Miners,High ROI Bitcoin Mining project,https://angel.co/bitcoin-miners,Brisbane,Feb ’14,27
Noble NoBull,"Create Art (Film, Music, Books, Talent) that will stand the test of time...",https://angel.co/noble-nobull,Gold Coast,Feb ’15,1
NoobTrader,Selling online for newbies,https://angel.co/noobtrader,Cairns,Feb ’11,12
Squirrelr,Proactive online budgeting (mint.com),https://angel.co/squirrelr,Gold Coast,Jul ’13,6
Fotostat,Fotostat is the central hub where photographers can manage their online presence.,https://angel.co/fotostat,Gold Coast,Jan ’13,9
Living Room of Satoshi,Pay bills with Bitcoin,https://angel.co/living-room-of-satoshi,Brisbane,Jun ’14,11
2ndLease,sharing platform for appliances and other household goods,https://angel.co/2ndlease,Brisbane,Mar ’16,2
Geospike,The Social Travel Journal,https://angel.co/geospike,Brisbane,Mar ’13,12
Pummel,Reach your goals with your own personal coach,https://angel.co/pummel,Gold Coast,Jun ’16,4
TripYada,Social sign-in for travel sites and apps,https://angel.co/tripyada,Gold Coast,Dec ’14,3
mobiActivation,Mobile applications to redefine social engagment,https://angel.co/mobiactivation,Townsville City,Sep ’15,1
Join My Wedding,Meetup/Eventbrite for Weddings - buy&sell tickets to weddings around the world,https://angel.co/join-my-wedding,Brisbane,Aug ’15,5
The Eikonico Project,"Gameplay exploring transhumanist states, integrating world-building and self-governance.",https://angel.co/the-eikonico-project,Brisbane,Mar ’12,10
Eclat Cloud,Exited,https://angel.co/eclat,Brisbane,Aug ’13,3
www.blktatu.com,Mailbox for a drone,https://angel.co/www-blktatu-com,Townsville City,Sep ’15,4
VisaRoom,Connecting Million of Visa Applicants To Thousand of Migration Agents.,https://angel.co/visaroom,Brisbane,Apr ’15,3
Starving Kids,,https://angel.co/starving-kids,Brisbane,Jan ’15,1
White Horse Audio,Audio Hire and Event Company,https://angel.co/white-horse-audio,Brisbane,Jan ’15,1
Olly's Box,"Olly's Box, a subscription e-commerce company for dog-lovers.",https://angel.co/ollysbox,Brisbane,Aug ’13,4
STCA Town Planning,CoreLogic for Town Planning Data,https://angel.co/stca-town-planning,Brisbane,Nov ’15,4
Inkspired,A tool for emerging writers to publish and crowdfund amazing serial stories.,https://angel.co/inkspired,Brisbane,Mar ’15,3
HungryLead,Hustlin for Startups!,https://angel.co/flopbid,Brisbane,Jun ’15,1
Fiftysix Creations,A build it yourself tablet and coding kit for kids!,https://angel.co/fiftysix,Brisbane,Jun ’16,1
HuddleIn,Share and discover with the world.,https://angel.co/huddlein,Brisbane,Sep ’11,9
Keegan Ventures,Your Startup Advisor,https://angel.co/keegan-ventures,Brisbane,Jul ’16,6
Lucid Industries,Trigga : Social Alarm App,https://angel.co/trigga,Brisbane,Feb ’15,15
See-out,Personal and brand reputation management,https://angel.co/see-out,Brisbane,Feb ’14,11
TalentVine,TalentVine connects employers to a selection of bidding recruiters via silent auction.,https://angel.co/talentvine,Brisbane,Mar ’15,7
NEXTRIDE,The Executive Travel App,https://angel.co/nextride,Brisbane,Jan ’15,1
Anionu,Cloud-based video surveillance service,https://angel.co/anionu,Brisbane,Feb ’14,3
Sourcey,Coding and Cloud Infrastructure for Startups,https://angel.co/sourcey,Brisbane,Feb ’14,3
StompStart,"Showcase, promote and discover the latest startup gold.",https://angel.co/stompstart,Brisbane,May ’15,3
Silver Siphon,Automatic Stripe to Xero Sync,https://angel.co/silver-siphon,Brisbane,Apr ’15,2
Hilenium,Marketing workflows for agencies,https://angel.co/hilenium,Brisbane,Jul ’15,2
OneRecruit,Recruiting Software That Works,https://angel.co/onerecruit,Gold Coast,Mar ’15,7
Yesthanks,Coupon Deals & Business Directory,https://angel.co/yesthanks,Brisbane,Feb ’16,1
Prickle Co,Energy efficiency in mining,https://angel.co/prickleco,Brisbane,May ’15,5
Seeker Central,Crowdsourced Shopping Marketplace,https://angel.co/seeker-central,Brisbane,Aug ’15,7
Phenomec,Virtual and Augmented Reality Headset,https://angel.co/phenomec,Brisbane,Sep ’14,6
MyMentor,The Matchmaker for Mentors and Mentees,https://angel.co/mymentor,Brisbane,Jun ’15,12
TwoCents,Global Marketing Company For SMEs,https://angel.co/twocents-2,Brisbane,May ’13,3
MetaMunch,Consumable Business Data,https://angel.co/metamunch,Brisbane,Nov ’13,7
Tag'd,We get lost pets home faster,https://angel.co/tag-d-1,Brisbane,Mar ’14,5
Explanimate!,Explainer videos for winners.,https://angel.co/explanimate,Brisbane,May ’12,5
mypresences,Worlds best Local Marketing Platform,https://angel.co/mypresences,Brisbane,Dec ’13,9
Creative Hearts Group,"We source, coordinate & deliver supplies for corporate, event companies & venues.",https://angel.co/creative-hearts-group,Brisbane,Jan ’13,4
Wonderland Babes,Online Boutique Australia,https://angel.co/wonderland-babes,Brisbane,Jul ’14,4
BuddyVerse,Connecting & Educating Kids Through Minecraft,https://angel.co/buddyverse,Brisbane,Nov ’15,10
Horoscorpio,original networking facility,https://angel.co/horoscorpio-1,Gold Coast,Sep ’14,2
Stellarpaths,A personalised consultant in your pocket. (FindThebest),https://angel.co/stellarpaths,Brisbane,May ’15,2
AussieFaithful,,https://angel.co/aussiefaithful,Brisbane,May ’16,1
SignUp.fyi,Better signups for clubs and societies,https://angel.co/signupfyi,Brisbane,Dec ’15,3
Picovi,Interactive and data-driven infographics,https://angel.co/picovi,Brisbane,Nov ’13,7
Cribber,Private bulletin broadcasts for construction worksites,https://angel.co/cribber,Brisbane,Aug ’15,2
Hatch,Time capsule app,https://angel.co/hatch-6,Brisbane,Feb ’15,2
Bespoke Insights,Regulatory cost-of-capital automation,https://angel.co/bespoke-insights,Brisbane,Oct ’15,2
Laevo,Business Transformation software platform,https://angel.co/laevo,Brisbane,May ’16,3
Hypometer,Summarise the social internet,https://angel.co/hypometer,Brisbane,Feb ’15,8
iRecruit Australia,Perfect Match Algorithm Recruitment App,https://angel.co/irecruit-australia,Brisbane,Dec ’15,6
Genesis AR,A new era of trading card gaming,https://angel.co/genesis-ar,Gold Coast,Feb ’16,6
Fivewise,Manufacturing Intelligence,https://angel.co/fivewise,Brisbane,Jan ’14,4
Clipchamp,Fast and easy video sharing & collecting for B2C and B2B,https://angel.co/clipchamp,Brisbane,Dec ’14,5
Shop My Town,Like Yellow Pages on Steroids,https://angel.co/shop-my-town,Brisbane,Mar ’16,4
Audacious Digital,Track your stuff,https://angel.co/audacious-digital,Toowoomba,May ’16,4
BikeRoar,Tripadvisor for Bikes,https://angel.co/bikeroar,Brisbane,Feb ’13,14
Youbiquiti,Smartphone Alert Currator & Productivity App,https://angel.co/youbiquiti,Brisbane,Sep ’14,6
Snipe for eBay,Simply Tinder for eBay,https://angel.co/snipe-for-ebay,Brisbane,Jan ’16,1
UniQuestions,"Building a Global University Network, through Knowledge",https://angel.co/uniquestions,Brisbane,Jun ’12,11
BizForms,Electronic Mobile forms & Workflow Management,https://angel.co/bizforms,Brisbane,May ’14,8
Kitovu,Task management for client work,https://angel.co/kitovu,Brisbane,Dec ’13,7
Zissou Aquarium Automation,The helper for your aquarium,https://angel.co/zissou-aquarium-automation,Roma,May ’15,3
OverseasDoc,Career Program for International Medical Graduates (Doctors),https://angel.co/overseasdoc,Vila Velha,Aug ’15,4
KinderCloud,Online Allied Health for Kids,https://angel.co/kindercloud-1,Brisbane,Mar ’15,3
Yojay Chillin,International Artist Recognition (Music),https://angel.co/yojay-chillin,Brisbane,Mar ’14,3
ResApp Health,Digital healthcare for respiratory disease.,https://angel.co/resapp-health,Brisbane,Jun ’15,4
GetScheduled.co,Beautiful appointment software,https://angel.co/getscheduled-co,Brisbane,May ’15,4
Freewill,Provides an alternative to bartering and encourages abundance,https://angel.co/freewill,Gold Coast,Apr ’13,1
Earth Wind & Sun s.r.l.,"innovative,hi-tech,cheap and powerful,power quality assessment,Energy Saving,IoT",https://angel.co/earth-wind-sun-s-r-l-1,Gaeta,Dec ’15,6
Journeum,Lonely Planet killer - downloadable travel guides,https://angel.co/journeum,Brisbane,Feb ’12,4
N-Vision Australia,,https://angel.co/n-vision-australia,Brisbane,Oct ’13,2
bowerbirdcuriositiesunlimited,franchised themed social media/ virtual worlds,https://angel.co/bowerbirdcuriositiesunlimited,Brisbane,Mar ’13,5
idroplan,irrigation made smarter,https://angel.co/idroplan,Roma,May ’15,6
The IT Bunch,Your IT Swiss Army Knife,https://angel.co/the-it-bunch,Brisbane,Mar ’12,3
HungryHero,Customers on demand,https://angel.co/hungryhero,Brisbane,Apr ’13,13
Umi,Connecting you to your soulmate,https://angel.co/umi,Brisbane,Apr ’15,2
Vibesonic,Innovating Health,https://angel.co/vibesonic,Brisbane,Dec ’15,1
bowerbirdcuriositiesunlimited,A cyberverse-all embracing webnetwork of virtualenterprise,https://angel.co/bowerbirdcuriositiesunlimited-1,Brisbane,Apr ’13,4
1Enrol,Enrolment platform for International students industry,https://angel.co/1enrol,Brisbane,Aug ’15,4
Lex&Go,Affordable Legal Services for Everybody,https://angel.co/lex-go,Roma,May ’15,2
ClzBy,'Amazon' of Local Services,https://angel.co/clzby,Brisbane,Aug ’14,11
Maid2Match,Homejoy located in Brisbane,https://angel.co/maid2match,Brisbane,Apr ’15,2
Maid2Match,Homejoy located in Brisbane,https://angel.co/maid2match-1,Brisbane,Apr ’15,1
Revo Deck Pty,decking and fence material supply through eCommerce channel.,https://angel.co/revo-deck-pty,Brisbane,Oct ’14,4
PhotoStory,High Definition & More Beautiful Photo Books for Asia,https://angel.co/photostory-1,Gold Coast,Sep ’15,2
Handle My Complaint,"Professional complainers making complaints quick, easy & painless.",https://angel.co/handle-my-complaint,Brisbane,Mar ’12,5
Happen,do life better.,https://angel.co/happen-1,Brisbane,Sep ’15,5
Parda,Innovative Software & App Development Company,https://angel.co/parda,Brisbane,Sep ’15,1
LifeOS,Operating System for your Life,https://angel.co/lifeos,Gold Coast,Mar ’16,2
Everwealth,Personal finances. Made simple.,https://angel.co/everwealth,Brisbane,Jul ’16,2
Didgigo,B2B Digital Content and Promotion Management,https://angel.co/didgigo,Cairns,Apr ’13,2
Cloubum,"We keep your photos and videos safe, so you don't have to worry.",https://angel.co/cloubum,Gold Coast,Jan ’13,4
Whish Contractors,Invest in the Construction Industry,https://angel.co/whish-contractors,Brisbane,Jan ’16,1
PRO biZ&U,Revolutionaries the way we do business through ideas and innovation.,https://angel.co/pro-biz-u,Brisbane,May ’16,1
Seditious Technologies,Numerical analysis for the open web,https://angel.co/seditious-technologies,Brisbane,Feb ’12,5
Skedulo,Enterprise Workforce Scheduling & Mobility,https://angel.co/skedulo,Brisbane,Jun ’14,5
The Property Pool,Web Based Property Management,https://angel.co/the-property-pool,Gold Coast,May ’15,2
Process PA,Your association or board managed in the cloud,https://angel.co/process-pa,Brisbane,Feb ’16,4
Shopalink,Image connecting people needs,https://angel.co/shopalink-1,Brisbane,Feb ’13,5
Trevor,1-Click Apply for Any Job on the Web,https://angel.co/trytrevorstartup,Brisbane,Apr ’15,3
Kasimir,filmmaker,https://angel.co/kasimir,Townsville City,May ’15,1
The Lettuce Store,The novelty gift store chain yet to be born,https://angel.co/the-lettuce-store,Brisbane,Nov ’15,1
Art Market Space,A Revolutionary Art Market Platform,https://angel.co/art-market-space,Brisbane,Aug ’15,3
Where2Tonight,"Drink, food and entertainment deal finder",https://angel.co/where2tonight,Brisbane,Nov ’13,3
Marc Adamson,Silent Investor required for a 50% company and profit share,https://angel.co/marc-adamson-1,Brisbane,Jul ’15,1
0,0,https://angel.co/jumble-2,Brisbane,Aug ’15,4
Dynamic Conversations,Entertaining on-line learning for Small Business,https://angel.co/dynamic-conversations,Cairns,Jun ’15,2
FitFlirter,Dating for sports and fitness enthusiasts,https://angel.co/fitflirter,Brisbane,Feb ’15,3
BattleFit,Challenge based mobile fitness app,https://angel.co/battlefit,Gold Coast,Sep ’14,2
Zeno,Internet for Gamers,https://angel.co/zeno-2,Brisbane,Oct ’14,4
Kerby Australia,"Give Away, Donate and Swap your unwanted goods",https://angel.co/kerby-australia,Brisbane,May ’14,4
